username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,12/1/16 23:21,11,3,ö_´ö__ö__ö_ ö__ö«š ö_´ö__ö__ö__ ö__ö_Â ? ö__ö__ö_Áö__ ö_´ö«ˆ ö_ˆö__ö_Ëö__ö__ö_Ÿ ö_¬ö«ˆö_‰ ö__ö«ö_š ö__ö_«ö__ö_´ö_«ö_Ëö__ Demonetizaton exercise ö_Èö«‰ö_Áö«ó ö__ö_Áö__ ö_Ÿö«ˆ flop ö_ìö__ö_Âö_Ëö_ ö_ˆö_Ÿö_´ö__ ö_Ÿö__ 14 ö__ö__ö__... http:// fb.me/VN4vejfL,,,,8.05E+17,https://twitter.com/ravi4354/status/804541026325106688,
,12/1/16 23:14,0,1,"Where are all those great defenders of #Demonetizaton on twitter now? Let's talk these Rs 4.7"" Crores",,,,,,
,12/1/16 22:43,0,2,Worsttt Execution.. Cash Shortage everywhere.. Oldpeople,,,,,,
,11/29/16 10:22,0,0,Modi has surpassed Tuglaq and Hitler: Mamata Banerjee hits out against demonetizaton http:// dlvr.it/MmXP0v pic.twitter.com/JhWSR6Acgb,,,,8.04E+17,https://twitter.com/TechieTurf/status/803620239124504576,
,11/29/16 09:04,6,10,Modi has surpassed Tuglaq and Hitler: Mamata Banerjee hits out against demonetizaton http:// dnai.in/dGew pic.twitter.com/qS7axtzYLO,,,,8.04E+17,https://twitter.com/dna/status/803600428495609860,
,11/29/16 08:14,16,23,Confident body language of PM Modi in RS is on the back of enormous support by Indians to his #Demonetizaton reform. Opposition can rant!,,,#Demonetizaton,8.04E+17,https://twitter.com/giniromet/status/803587893654474752,
,11/29/16 07:37,0,0,Dollar 70 rupaye ka hone wala hai.. shukar hai Kaka ki Demonetizaton ki vajah se logon ke paas rupaye hi nahi hain dollar khareedne ke.,,,,8.04E+17,https://twitter.com/pranav_pintoo/status/803578656576585728,
,11/29/16 00:18,0,3,Result in Maharashtra at grassroots level is reflection of people support to PM's demonetizaton decision(1/2) @Dev_Fadnavis @ArvindKejriwal pic.twitter.com/8wuRUazxDk,,@Dev_Fadnavis @ArvindKejriwal,,8.03E+17,https://twitter.com/pintu_ps/status/803468180991578113,
,11/28/16 12:48,3,10,@PMOIndia @narendramodi Ji #IndiaFightsCorruption #Demonetizaton in Agra pic.twitter.com/FnFdylz2pP,,@PMOIndia @narendramodi,#IndiaFightsCorruption #Demonetizaton,8.03E+17,https://twitter.com/SanjayPathak3/status/803294445475102720,
,11/28/16 12:08,0,0,And the poor queue uncomplainingly thinking this is sticking it to the rich and corrupt. Strange,,,,,,
,11/28/16 09:48,0,0,Saw a doctor today. He does charity twice a week. Consultation at ä‰_20. Post #Demonetizaton poor aren't willing to spend even meagre amount!,,,#Demonetizaton,8.03E+17,https://twitter.com/DadaThaakur/status/803249250838548480,
,11/28/16 07:29,6,5,#mahavoted4bjp Those who r opposing #Demonetizaton h's been punished in grass root election. @HinduRajyam @pooran775 @aloktiwari9335 pic.twitter.com/PNo5IkAPiH,,@HinduRajyam @pooran775 @aloktiwari9335,#mahavoted4bjp #Demonetizaton,8.03E+17,https://twitter.com/sharmamanoj135/status/803214355382738944,
