username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,11/28/16 01:17,0,0,#DemonetisationScam Demonetisaton has ruined business and lives. Black money hoarders & corrupt are praising pic.twitter.com/EOxdAdvmyD,,,#DemonetisationScam,8.03E+17,https://twitter.com/RannSinghRana/status/803120501673652224,
,11/28/16 01:13,134,91,#DemonetisationScam Demonetisaton has ruined business and lives. Black money hoarders & corrupt are praising pic.twitter.com/cuHJE3G6lR,,,#DemonetisationScam,8.03E+17,https://twitter.com/AAP4Uttarakhand/status/803119496936374272,
,11/28/16 01:12,1,0,#DemonetisationScam Demonetisaton has ruined business and lives. Black money hoarders & corrupt are praising https://twitter.com/AAP4Uttarakhand/status/803118045057011712/photo/1 pic.twitter.com/7H0djI3jNc,,,#DemonetisationScam,8.03E+17,https://twitter.com/RannSinghRana/status/803119286004973569,
,11/28/16 01:10,0,0,#DemonetisationScam Demonetisaton has ruined business and lives. Black money hoarders & corrupt are praising https://twitter.com/AAP4Uttarakhand/status/803118045057011712/photo/1 pic.twitter.com/WqPLXLF93s,,,#DemonetisationScam,8.03E+17,https://twitter.com/AapDhanolti/status/803118810454601729,
,11/28/16 00:29,19,13,Demonetisaton has ruined business and even the lives. Black money hoarders and corrupt are praising demonetisation... #DemonetisationScam pic.twitter.com/dCQXxyVua6,,,#DemonetisationScam,8.03E+17,https://twitter.com/rameem81/status/803108654517891072,
,11/28/16 00:24,1,0,Demonetisaton has ruined business and even the lives. Black money hoarders and corrupt are praising demoetisation. #DemonetisationScam pic.twitter.com/uN05OaDzlL,,,#DemonetisationScam,8.03E+17,https://twitter.com/AYW_Pune/status/803107203016257536,
,11/27/16 23:42,15,38,United Opposition stands divided over Bharat Bandh. Watch #ITVideo for full story #DeMonetisaton #CashChaos pic.twitter.com/2Tv1pIX9TN,,,#ITVideo #DeMonetisaton #CashChaos,8.03E+17,https://twitter.com/IndiaToday/status/803096766182633472,
,11/27/16 13:48,0,0,no,,,,,,
,11/27/16 10:30,0,0,River Ganga sanctifying India. Demonetisaton will purify economy of India pic.twitter.com/27ZxKohOtV,,,,8.03E+17,https://twitter.com/DrKSVarma/status/802897300074872833,
,11/27/16 09:21,0,0,Opposition were not told in advance about Demonetisaton by Mr.Modi,,,,,,
,11/27/16 09:07,0,0,All opposition parties leaders hv run away from Twitter,,,,,,
,11/27/16 05:06,0,0,Akhrosh of d poor pple & farmer Public in general agnst #demonetisaton needs 2 b witnessed Sir,,,#demonetisaton,8.03E+17,https://twitter.com/arahimkhan56_r/status/802815779397697537,
,11/27/16 02:27,0,0,madam person who didn't opted for VDIS need to be punished. We expect #prestitutes @timesofindia will oppose #demonetisaton,,@timesofindia,#prestitutes #demonetisaton,8.03E+17,https://twitter.com/TweetHarshul/status/802775803192713216,
,11/27/16 02:20,0,0,Maan Ki Baat: People Using Poor to Convert Black ... - https://www. punjabupdate.com/2016/11/27/maa n-ki-baat-people-using-poor-to-convert-black-money-says-pm Š—_ - #Demonetisaton #MaanKiBaat #NarendraModi #PmModi,,,#Demonetisaton #MaanKiBaat #NarendraModi #PmModi,8.03E+17,https://twitter.com/Punjabupdate/status/802774017715228672,
,11/27/16 02:00,0,0,Maan Ki Baat: We Must Stand With Our Soldiers,,,,,,
,11/26/16 20:51,0,0,even Modi Ji acts on my suggestion. I said scapegoat RBI UrjitPatel identified,,,,,,
,11/26/16 12:01,0,1,š__šÇöš__ š__š_«šÇš__š_è š_«š__ š_“šÇš_µš__š_ç š__šÇ_ š__š_Âš_š__š__,,,,,,
,11/26/16 05:11,0,0,@NandanNilekani Many challenges to the success of Demonetisaton - culture,,,,,,
,11/26/16 03:01,1,2,#Demonetisaton affects the terrorists chances of #MumbaiAttacks celebration,,,#Demonetisaton #MumbaiAttacks,8.02E+17,https://twitter.com/nishugoyalhh/status/802422129862053889,
,11/26/16 01:05,0,0,#demonetisaton black money holders.... https:// twitter.com/TruthOfGujarat /status/802371475080617984 Š—_,,,#demonetisaton,8.02E+17,https://twitter.com/KnightCrawler_7/status/802392700875980800,
,11/25/16 23:57,0,1,I added a video to a @YouTube playlist http:// youtu.be/f75YNXrCQ-E?a Demonetisaton breaks back of Real Estate Sector - TV9,,@YouTube,,8.02E+17,https://twitter.com/HemanthPatrudu/status/802375663869161472,
,11/25/16 22:36,0,1,Demonetisaton https:// twitter.com/SriSri/status/ 802201305196339200 Š—_,,,,8.02E+17,https://twitter.com/ShivB123/status/802355440826785792,
,11/25/16 22:13,0,0,People say that note printing is costlier than what amount gov will recei be through demonetisaton ,,,,,,
,11/25/16 17:00,1,1,I request Director IB to compile a comprehensive report of how #DeMonetisaton has hampered terror funding: @rajnathsingh at DGP meet. #RE,,@rajnathsingh,#DeMonetisaton #RE,8.02E+17,https://twitter.com/IndiaTodayFLASH/status/802270640958902272,
,11/25/16 13:00,0,1,PM should come to LS & participate in demonetisaton debate : Rahul Gandhi http:// teesrijungenglish.com/2016/11/pm-sho uld-come-to-ls-participate-in-demonetisaton-debate-rahul-gandhi/ Š—_,,,,8.02E+17,https://twitter.com/tajmahalfort/status/802210242750713858,
,11/25/16 12:35,0,0,@AamAadmiParty @raghav_chadha poor men is mostly affected and killed due to demonetisaton more then terrorists killed innocent,,@AamAadmiParty @raghav_chadha,,8.02E+17,https://twitter.com/edward_s155/status/802204078818336768,
,11/25/16 12:22,0,0,this proves he is a puppet. Nothing less. Nothing more. #Demonetizaton #demonetisaton,,,#Demonetizaton #demonetisaton,8.02E+17,https://twitter.com/tekeam123/status/802200790614077440,
,11/25/16 12:19,0,0,Dear critics on demonetisation please know that the source of the inconvenience is corruption and #BlackMoney and not #demonetisaton .,,,#BlackMoney #demonetisaton,8.02E+17,https://twitter.com/atheethattvam/status/802199942555111424,
,11/25/16 12:14,0,0,A #DigitalVillage that avoided #India 's cash crunch #Demonetisaton http://www. bbc.co.uk/news/business- 38032626 Š—_ . #Akodara in Gujarat making #DigitalIndia happen.,,,#DigitalVillage #India #Demonetisaton #Akodara #DigitalIndia,8.02E+17,https://twitter.com/Dipal/status/802198857501310976,
